"id","participant_id","item_id","item","item_type","trial_index","correct_answer","response","is_correct","reaction_time","trial_ptr_id","question_id"
242,193,"11_fb_1_s_s_ex",11,"attention_check",6,"suitcase","suitcase","True",16778.3999999762,242,"start_loc"
243,193,"11_fb_1_s_s_ex",11,"attention_check",7,"backpack","backpack","True",5625.20000004768,243,"end_loc"
245,170,"7_tb_1_e_s_im",7,"attention_check",6,"garage","Garage","True",7489.59999990463,245,"start_loc"
246,170,"7_tb_1_e_s_im",7,"attention_check",7,"fridge","Out","False",14686.6000001431,246,"end_loc"
248,275,"6_fb_1_s_s_im",6,"attention_check",6,"drawer","drawer","True",6274.2000002861,248,"start_loc"
249,275,"6_fb_1_s_s_im",6,"attention_check",7,"cabinet","drawer","False",12204.4000000954,249,"end_loc"
251,286,"12_tb_1_e_e_im",12,"attention_check",6,"stable","hut","False",5129.19999999925,251,"start_loc"
252,286,"12_tb_1_e_e_im",12,"attention_check",7,"hut","hut","True",4390.80000000075,252,"end_loc"
254,131,"4_tb_1_e_s_im",4,"attention_check",6,"shed","shed","True",11399.7999999523,254,"start_loc"
255,131,"4_tb_1_e_s_im",4,"attention_check",7,"garage","shed","False",4401.20000004768,255,"end_loc"
257,389,"2_fb_1_s_s_ex",2,"attention_check",6,"cupboard","end","False",3275.60000038147,257,"start_loc"
258,389,"2_fb_1_s_s_ex",2,"attention_check",7,"fridge","fine","False",3352.19999980927,258,"end_loc"
260,182,"4_tb_1_s_s_ex",4,"attention_check",6,"shed","shed","True",4811.30000000075,260,"start_loc"
261,182,"4_tb_1_s_s_ex",4,"attention_check",7,"garage","garage","True",5876.60000000149,261,"end_loc"
263,232,"1_tb_1_s_e_im",1,"attention_check",6,"box","box","True",4770.90000000596,263,"start_loc"
264,232,"1_tb_1_s_e_im",1,"attention_check",7,"basket","sean","False",11439,264,"end_loc"
266,226,"9_fb_1_s_e_im",9,"attention_check",6,"cupboard","table","False",11638.6000000238,266,"start_loc"
